stargazers,openissues,closedissues,forkCount,pullRequests,commitnum,watchers,diskUsage_kb,readme_bytes,releases,projects,milestones,deployments,issuelabels,repositoryTopics,descr_len,hasUrl,hasLicense,hasWiki,hasIssue,created,updated
640,31,80,89,16,291.0,10,571,9658,11,0,2,0,8,7,72,1,0,1,1,1427422234,1581698561
472,27,58,443,243,672.0,133,14613,427,0,0,3,0,8,0,46,0,0,1,1,1427435280,1581645619
271,97,643,100,113,3356.0,48,22255,9986,172,4,2,1,32,9,61,1,1,1,1,1427454150,1581281563
189,11,9,22,17,76.0,14,96,10051,0,0,0,0,8,0,41,0,1,1,1,1427439909,1581744190
174,41,30,56,697,9932.0,30,152236,12551,23,0,0,0,9,0,73,1,0,1,1,1427445102,1581701870
156,3,21,5,46,985.0,16,3555,80102,0,0,0,1,8,4,88,1,1,1,1,1427493732,1581744071
152,3,41,28,34,658.0,7,993,52130,0,0,1,205,8,0,184,0,1,1,1,1427442581,1581625752
149,4,5,32,42,95.0,51,183,8230,10,0,0,0,7,0,80,1,1,0,1,1427478865,1580780693
137,0,1,51,2,203.0,20,1575,357,0,0,0,0,7,0,20,0,0,1,1,1427432057,1580782764
101,14,5,18,774,2591.0,7,17885,4350,0,0,0,0,11,6,20,1,0,1,1,1427478185,1581927362
74,10,13,24,49,178.0,7,127,4898,0,0,0,0,10,2,42,0,0,1,1,1427490149,1580930989
55,7,5,65,15,88.0,24,66,0,1,0,0,0,10,0,34,1,0,1,1,1427450313,1581597817
47,0,164,80,617,92.0,6,66616,0,0,0,0,0,10,0,10,0,0,1,1,1427481073,1579217316
100,0,15,52,0,392.0,20,1901,5995,8,0,0,0,7,0,249,0,0,1,1,1427470115,1580993961
79,0,0,19,24,683.0,10,156796,13936,13,0,0,0,8,0,40,1,1,0,0,1427499631,1580660567
74,11,204,94,89,658.0,87,13770,2550,20,2,0,46,26,0,83,1,1,1,1,1427464941,1581693193
74,1,6,95,966,3041.0,29,209663,6090,10,0,0,0,7,7,49,0,1,1,1,1427478954,1580732502
69,18,110,52,64,262.0,41,670,14136,32,0,5,0,10,10,143,0,1,1,1,1427481142,1581431224
62,72,78,22,0,50.0,9,91446,1284,0,0,0,0,16,0,6,1,1,1,1,1427459504,1578624068
54,7,97,24,13,366.0,9,815,5592,32,0,2,0,14,5,96,1,1,1,1,1427466262,1581770957
45,8,1,14,2,681.0,25,61055,1785,0,0,0,0,7,0,0,0,0,1,1,1427491076,1581616816
3,0,5,3,1,560.0,2,5542,3299,0,0,0,0,10,6,25,0,0,0,1,1427674124,1581340622
1,0,0,0,4,282.0,1,20000,384,0,0,0,0,8,3,57,1,0,1,1,1427687809,1580064975
1,3,3,0,1,152.0,1,326,790,0,0,0,0,6,0,25,0,0,0,1,1427841836,1580563048
